"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Bauza V.; Furey S.; Alvarez-Sala J.; Bartram J.; Danert K.; De France J.; Diarra S.; Fisher M.B.; Hansen D.; Hutchings P.; Lindsay C.; Mulhern R.; Norman R.; Ramseier C.; Strandberg J.; Studer P.; Salzberg A.","Bauza, Valerie (56624427400); Furey, Sean (23767920700); Alvarez-Sala, Jorge (57215722681); Bartram, James (6603696131); Danert, Kerstin (6507561416); De France, Jennifer (50061025100); Diarra, Samuel (57204043709); Fisher, Michael B. (55466325000); Hansen, Dain (59334212200); Hutchings, Paul (56900871400); Lindsay, Christopher (57354719700); Mulhern, Riley (57194496389); Norman, Ray (59333947300); Ramseier, Claude (59333672800); Strandberg, Johan (58389502500); Studer, Pierre (59334080800); Salzberg, Aaron (57754717900)","56624427400; 23767920700; 57215722681; 6603696131; 6507561416; 50061025100; 57204043709; 55466325000; 59334212200; 56900871400; 57354719700; 57194496389; 59333947300; 59333672800; 58389502500; 59334080800; 57754717900","Eliminating lead exposure from drinking water—A global call to action","2023","PLOS Water","2","4 April","e0000122","","","","1","10.1371/journal.pwat.0000122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194220585&doi=10.1371%2fjournal.pwat.0000122&partnerID=40&md5=798e6196e7f5df71f2005f66420ecd4e","Note","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85194220585"
"Mdee A.; Ofori A.D.; Barrington D.; Anciano F.; Dube M.; Hutchings P.; Kramer S.; López-Valladares H.; Parker A.; Riungu J.N.; Ward C.","Mdee, Anna (26640577600); Ofori, Alesia Dedaa (57215413817); Barrington, Dani (25922053200); Anciano, Fiona (56089422400); Dube, Mmeli (57212193497); Hutchings, Paul (56900871400); Kramer, Sasha (55945400000); López-Valladares, Hellen (57211300305); Parker, Alison (35183675500); Riungu, Joy Nyawira (57201155391); Ward, Christopher (58750795200)","26640577600; 57215413817; 25922053200; 56089422400; 57212193497; 56900871400; 55945400000; 57211300305; 35183675500; 57201155391; 58750795200","On a journey to citywide inclusive sanitation (CWIS)? A political economy analysis of container-based sanitation (CBS) in the fragmented in(formal) city","2024","Globalizations","","","","","","","0","10.1080/14747731.2024.2434302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212426713&doi=10.1080%2f14747731.2024.2434302&partnerID=40&md5=f3981bc92909aec614638e6f82b3ece5","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85212426713"
"Hutchings P.","Hutchings, Paul (56900871400)","56900871400","Community management or coproduction? The role of state and citizens in rural water service delivery in India","2018","Water Alternatives","11","2","","357","374","17","23","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048081072&partnerID=40&md5=fbec3f564eb4814b37d642525397b103","Article","Final","","Scopus","2-s2.0-85048081072"
"Hutchings P.; Parker A.; Jeffrey P.","Hutchings, Paul (56900871400); Parker, Alison (35183675500); Jeffrey, Paul (11939569100)","56900871400; 35183675500; 11939569100","The political risks of technological determinism in rural water supply: A case study from Bihar, India","2016","Journal of Rural Studies","45","","","252","259","7","9","10.1016/j.jrurstud.2016.03.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963595624&doi=10.1016%2fj.jrurstud.2016.03.016&partnerID=40&md5=fa93c0e3a4afc7c1d13d012985614970","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84963595624"
"Libey A.; Kebede A.; Ibrahim J.; Hutchings P.; Mekonta L.; Butterworth J.; Thomas E.","Libey, Anna (57218823862); Kebede, Abinet (57210555950); Ibrahim, Jemal (57965133700); Hutchings, Paul (56900871400); Mekonta, Lemessa (55913114300); Butterworth, John (7101864192); Thomas, Evan (57210517257)","57218823862; 57210555950; 57965133700; 56900871400; 55913114300; 7101864192; 57210517257","Surveyed from Afar: Household water security, emotional well-being, and the reliability of water supply in the Ethiopian lowlands","2022","International Journal of Hygiene and Environmental Health","246","","114059","","","","6","10.1016/j.ijheh.2022.114059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141890610&doi=10.1016%2fj.ijheh.2022.114059&partnerID=40&md5=bc7bcd7ce738c3ddf868a5f9118062d1","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85141890610"
"Budge S.; Parker A.H.; Hutchings P.T.; Garbutt C.","Budge, Sophie (57207298008); Parker, Alison H. (35183675500); Hutchings, Paul T. (56900871400); Garbutt, Camila (57207310652)","57207298008; 35183675500; 56900871400; 57207310652","Environmental enteric dysfunction and child stunting","2019","Nutrition Reviews","77","4","","240","253","13","121","10.1093/nutrit/nuy068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062391144&doi=10.1093%2fnutrit%2fnuy068&partnerID=40&md5=2691447257d001b21a3aec97ea8cb4a2","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85062391144"
"Mallory A.; Akrofi D.; Dizon J.; Mohanty S.; Parker A.; Rey Vicario D.; Prasad S.; Welvita I.; Brewer T.; Mekala S.; Bundhoo D.; Lynch K.; Mishra P.; Willcock S.; Hutchings P.","Mallory, Adrian (57208141990); Akrofi, Daniel (57218292317); Dizon, Jenica (57218291943); Mohanty, Sourav (58351576300); Parker, Alison (35183675500); Rey Vicario, Dolores (55310929000); Prasad, Sharada (57199698122); Welvita, Indunee (56943410000); Brewer, Tim (7102056525); Mekala, Sneha (57218294796); Bundhoo, Dilshaad (24465021700); Lynch, Kenny (7202687518); Mishra, Prajna (26658629600); Willcock, Simon (36520213600); Hutchings, Paul (56900871400)","57208141990; 57218292317; 57218291943; 58351576300; 35183675500; 55310929000; 57199698122; 56943410000; 7102056525; 57218294796; 24465021700; 7202687518; 26658629600; 36520213600; 56900871400","Evaluating the circular economy for sanitation: Findings from a multi-case approach","2020","Science of the Total Environment","744","","140871","","","","36","10.1016/j.scitotenv.2020.140871","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088643931&doi=10.1016%2fj.scitotenv.2020.140871&partnerID=40&md5=515433a59eb003dee80a0b7cc1f554c2","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85088643931"
"Cooper S.; Hutchings P.; Butterworth J.; Joseph S.; Kebede A.; Parker A.; Terefe B.; Van Koppen B.","Cooper, Sarah (54786293400); Hutchings, Paul (56900871400); Butterworth, John (7101864192); Joseph, Solome (55980118400); Kebede, Abinet (57210555950); Parker, Alison (35183675500); Terefe, Bethel (57211519498); Van Koppen, Barbara (55667428200)","54786293400; 56900871400; 7101864192; 55980118400; 57210555950; 35183675500; 57211519498; 55667428200","Environmental associated emotional distress and the dangers of climate change for pastoralist mental health","2019","Global Environmental Change","59","","101994","","","","39","10.1016/j.gloenvcha.2019.101994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074276669&doi=10.1016%2fj.gloenvcha.2019.101994&partnerID=40&md5=3f844fff52f42e092b8d502db27e90bb","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85074276669"
"Whitley L.; Hutchings P.; Cooper S.; Parker A.; Kebede A.; Joseph S.; Butterworth J.; Van Koppen B.; Mulejaa A.","Whitley, Lucy (57210554320); Hutchings, Paul (56900871400); Cooper, Sarah (54786293400); Parker, Alison (35183675500); Kebede, Abinet (57210555950); Joseph, Solome (55980118400); Butterworth, John (7101864192); Van Koppen, Barbara (55667428200); Mulejaa, Adolph (57210566508)","57210554320; 56900871400; 54786293400; 35183675500; 57210555950; 55980118400; 7101864192; 55667428200; 57210566508","A framework for targeting water, sanitation and hygiene interventions in pastoralist populations in the Afar region of Ethiopia","2019","International Journal of Hygiene and Environmental Health","222","8","","1133","1144","11","17","10.1016/j.ijheh.2019.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070903000&doi=10.1016%2fj.ijheh.2019.08.001&partnerID=40&md5=111b0241847aa68ac3f8519504848bc9","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85070903000"
"Hutchings P.; Franceys R.; Jasthi S.; Saraswothy R.","Hutchings, Paul (56900871400); Franceys, Richard (6602406987); Jasthi, Shaili (57223619578); Saraswothy, Rema (57223611242)","56900871400; 6602406987; 57223619578; 57223611242","Community management and participation in multi-village schemes for rural water supply in India","2020","Waterlines","39","2","","133","143","10","2","10.3362/1756-3488.18-00037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105922870&doi=10.3362%2f1756-3488.18-00037&partnerID=40&md5=1f14e0f0b60d5df216950fdf59a4fc79","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85105922870"
